contractID,endUser,region,fiscalYear,marketArea,revenue,tfc,tfcConfidence,reviewed,fileUrl
ADUROBIOTECH, ,AMEA,2022, ,96529,true,0.98,False,ADUROBIOTECH.pdf
BizzingoInc, ,AMEA,2022, ,119356,true,0.88,False,BizzingoInc.pdf
CardlyticsInc, ,AMEA,2022, ,134468,true,0.86,False,CardlyticsInc.pdf
ClickstreamCorp, ,AMEA,2022, ,177936,true,0.99,False,ClickstreamCorp.pdf
CreditcardscomInc, ,AMEA,2022, ,103042,true,0.90,False,CreditcardscomInc.pdf
DRAGONSYSTEMSINC, ,AMEA,2022, ,178975,true,0.96,False,DRAGONSYSTEMSINC.pdf
ElPolloLocoHoldingsInc, ,AMEA,2022, ,177381,true,0.87,False,ElPolloLocoHoldingsInc.pdf
HertzGroupRealtyTrustInc, ,AMEA,2022, ,96220,true,0.96,False,HertzGroupRealtyTrustInc.pdf
LiquidmetalTechnologiesInc, ,AMEA,2022, ,97768,true,0.86,False,LiquidmetalTechnologiesInc.pdf
MidwestEnergyEmissionsCorp, ,AMEA,2022, ,196473,true,0.86,False,MidwestEnergyEmissionsCorp.pdf
MJBIOTECH, ,AMEA,2022, ,175721,true,0.90,False,MJBIOTECH.pdf
OAKTREECAPITALGROUP, ,AMEA,2022, ,152086,true,0.94,False,OAKTREECAPITALGROUP.pdf
PFSFUNDS, ,AMEA,2022, ,50091,true,0.87,False,PFSFUNDS.pdf
QuantumGroupIncFl, ,AMEA,2022, ,102292,true,0.90,False,QuantumGroupIncFl.pdf
SLINGERBAGINC, ,AMEA,2022, ,73103,true,0.99,False,SLINGERBAGINC.pdf
SouthernStarEnergyInc, ,AMEA,2022, ,84997,true,0.97,False,SouthernStarEnergyInc.pdf
AimmuneTherapeuticsInc, ,AMEA,2022, ,55028,true,0.81,False,AimmuneTherapeuticsInc.pdf
GarrettMotionInc, ,AMEA,2022, ,90146,true,0.65,False,GarrettMotionInc.pdf
MorganStanleyDirectLendingFund, ,AMEA,2022, ,189231,true,0.64,False,MorganStanleyDirectLendingFund.pdf
VirtuosoSurgicalInc, ,AMEA,2022, ,154505,true,0.68,False,VirtuosoSurgicalInc.pdf
AgapeAtpCorp, ,AMEA,2022, ,53465,true,0.53,False,AgapeAtpCorp.pdf
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND, ,AMEA,2022, ,116479,true,0.56,False,BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND.pdf
CybergyHoldingsInc, ,AMEA,2022, ,73193,true,0.53,False,CybergyHoldingsInc.pdf
EcoScienceSolutionsInc, ,AMEA,2022, ,154018,true,0.52,False,EcoScienceSolutionsInc.pdf
FuseMedicalInc, ,AMEA,2022, ,115334,true,0.57,False,FuseMedicalInc.pdf
GpaqAcquisitionHoldingsInc, ,AMEA,2022, ,53976,true,0.56,False,GpaqAcquisitionHoldingsInc.pdf
PapaJohnsInternationalInc, ,AMEA,2022, ,189022,true,0.57,False,PapaJohnsInternationalInc.pdf
ScansourceInc, ,AMEA,2022, ,56402,true,0.58,False,ScansourceInc.pdf
TomOnlineInc, ,AMEA,2022, ,54915,true,0.60,False,TomOnlineInc.pdf
WEBHELPCOMINC, ,AMEA,2022, ,193540,true,0.50,False,WEBHELPCOMINC.pdf
XpresspaGroupInc, ,AMEA,2022, ,103467,true,0.53,False,XpresspaGroupInc.pdf
XYBERNAUTCORP, ,AMEA,2022, ,67071,true,0.59,False,XYBERNAUTCORP.pdf
