contractID,endUser,region,fiscalYear,marketArea,revenue,tfc,tfcConfidence,reviewed,fileUrl
DR3215052, ,Americas,2021, ,55000,true,0.98,False,DR3215052_00873923_Parent.pdf
DR3187450, ,Americas,2021, ,125000,true,0.96,False,DR3187450_00829261_Parent.pdf
DR3187111, ,Americas,2021, ,225000,true,0.98,False,DR3187111_00829261_Parent.pdf
DR3187222, ,EMEA,2022, ,125000,true,0.88,False,DR3187222_00829261_Parent.pdf
DR3187333, ,EMEA,2022, ,135000,true,0.84,False,DR3187333_00829261_Parent.pdf
DR3187444, ,EMEA,2022, ,188000,true,0.96,False,DR3187444_00829261_Parent.pdf
DR3187555, ,EMEA,2022, ,188000,true,0.90,False,DR3187555_00829261_Parent.pdf
DR3187666, ,EMEA,2022, ,188000,true,0.89,False,DR3187666_00829261_Parent.pdf
DR3187777, ,EMEA,2022, ,105000,true,0.952,False,DR3187777_00829261_Parent.pdf
DR3187888, ,EMEA,2022, ,128900,true,0.97,False,DR3187888_00829261_Parent.pdf
DR3187999, ,EMEA,2022, ,12999,true,0.96,False,DR3187999_00829261_Parent.pdf
DR3187100, ,EMEA,2022, ,170450,true,0.95,False,DR3187100_00829261_Parent.pdf
DR3187101, ,EMEA,2022, ,110000,true,0.925,False,DR3187101_00829261_Parent.pdf
DR3187102, ,EMEA,2022, ,90000,true,0.79,False,DR3187102_00829261_Parent.pdf
DR3187103, ,EMEA,2022, ,99000,true,0.91,False,DR3187103_00829261_Parent.pdf
DR3187104, ,EMEA,2022, ,172000,true,0.94,False,DR3187104_00829261_Parent.pdf
DR3187105, ,EMEA,2022, ,166000,true,0.955,False,DR3187105_00829261_Parent.pdf
DR3187106, ,EMEA,2022, ,875000,true,0.76,False,DR3187106_00829261_Parent.pdf
DR3187107, ,EMEA,2022, ,195000,true,0.96,False,DR3187106_00829261_Parent.pdf

